Dead bush|170|127|88|91|0|0|0
Bush|157|104|74|79|0|0|0
Bush|114|100|56|76|0|0|0
Dead bush|131|109|62|83|0|0|0
Busht 4|117|102|58|76|0|0|0
Dead bush|112|107|61|81|0|0|0
Dead tree|203|306|89|293|0|0|0
Dead tree|273|360|118|346|0|0|0
Thicketstuff|112|52|55|52|0|0|0
Thicketstuff|120|48|59|48|0|0|0
Thicketstuff|177|97|87|68|0|0|0
Trunk|56|58|26|49|0|0|0
Fallen trunk|235|77|117|55|0|0|0
Trunk 13|56|173|25|162|0|0|0
Trunk 14|57|195|24|183|0|0|0
Flowers5|44|40|21|29|0|0|0
Flowers6|50|40|23|27|0|0|0
Small bush|73|59|36|37|0|0|0
<UNKNOWN>|107|38|52|36|0|0|0
Ivy|52|43|25|41|0|0|0
Wooden wall|64|44|36|41|0|0|0
Rope|35|51|16|49|0|0|0
Rack|39|87|18|85|0|0|0
Rope|22|48|10|46|0|0|0
<UNKNOWN>|32|38|15|36|0|0|0
<UNKNOWN>|8|8|3|6|0|0|0
<UNKNOWN>|57|111|27|109|0|0|0
Ivy|32|63|15|61|0|0|0
Horseshoe|65|18|31|16|0|0|0
Cartwheel|78|74|38|72|0|0|0
Wooden wall|82|164|42|153|0|0|0
Wooden wall|71|164|42|153|0|0|0
Wooden wall|146|164|74|153|0|0|0
Ivy|146|164|74|153|0|0|0
Wooden wall|146|164|75|154|0|0|0
Planks|146|167|74|153|0|0|0
Window|146|164|74|153|0|0|0
Window|146|164|74|153|0|0|0
Wooden wall|146|164|74|153|0|0|0
Wooden wall|57|181|31|161|0|0|0
Wooden wall|49|181|23|161|0|0|0
Window|89|213|47|177|0|0|0
Window|89|213|47|177|0|0|0
Wooden wall|89|213|47|177|0|0|0
Wooden wall|56|178|30|161|0|0|0
Wooden wall|32|88|6|68|0|0|0
Wooden wall|54|197|28|179|0|0|0
Wooden wall|62|217|37|160|0|0|0
Wooden wall|54|213|21|182|0|0|0
Wooden wall|76|164|36|153|0|0|0
Wooden wall|79|211|37|178|0|0|0
Wooden wall|41|182|20|157|0|0|0
Window|79|211|37|178|0|0|0
Wooden wall|33|76|6|66|0|0|0
Wooden wall|47|193|21|162|0|0|0
Window|79|211|37|178|0|0|0
Lamp|19|36|7|34|0|0|0
Lamp|21|38|9|36|0|0|0
Shelf|83|49|40|47|0|0|0
Painting|75|60|36|58|0|0|0
<UNKNOWN>|19|24|8|22|0|0|0
<UNKNOWN>|20|38|9|36|0|0|0
<UNKNOWN>|36|37|17|35|0|0|0
Deerskullkull|67|45|32|43|0|0|0
Door|71|112|41|109|0|0|0
Door|33|142|13|127|0|0|0
DoorouseDoor_I|23|137|21|126|0|0|0
Wooden wall|34|154|16|148|0|0|0
Wooden wall|84|154|40|148|0|0|0
Wooden wall|64|46|40|40|0|0|0
Wooden wall|81|154|44|148|0|0|0
Wooden wall|88|154|44|148|0|0|0
Wooden wall|88|154|44|148|0|0|0
Window|152|154|76|148|0|0|0
Window|152|154|76|148|0|0|0
Wooden wall|152|154|76|148|0|0|0
Wooden wall|152|154|76|148|0|0|0
Well|160|195|76|169|0|0|0
Stone well|155|183|78|164|0|0|0
Sign|72|147|35|141|0|0|0
Bench|103|83|50|54|0|0|0
Tree trunk|150|55|75|34|0|0|0
Fence|124|74|64|69|0|0|0
Fence|128|76|65|71|0|0|0
Fence|126|75|62|70|0|0|0
Fence|128|77|65|74|0|0|0
Bench|135|43|65|32|0|0|0
Fence|68|116|37|91|0|0|0
Bench|130|80|56|71|0|0|0
Bench|90|109|44|87|0|0|0
Fence|70|121|37|93|0|0|0
Fence|73|126|37|99|0|0|0
Fence|73|125|37|98|0|0|0
Statue|89|154|48|139|0|0|0
Statue|78|152|38|137|0|0|0
Dragon statue|42|90|20|83|0|0|0
Rock wall|195|164|96|163|0|0|0
Grid|195|172|96|169|0|0|0
Rock wall|194|247|95|229|0|0|0
Rock wall|196|194|97|163|0|0|0
Rock wall|194|190|95|189|0|0|0
Rock wall|194|164|95|163|0|0|0
Rock wall|64|62|38|50|0|0|0
Rock wall|163|199|59|174|0|0|0
Rock wall|163|199|59|174|0|0|0
Rock wall|181|209|59|184|0|0|0
Rock wall|97|167|56|166|0|0|0
Rock wall|165|200|59|175|0|0|0
Rock wall|158|215|54|192|0|0|0
Rock wall|130|190|63|189|0|0|0
Rock wall|153|218|57|194|0|0|0
Rock wall|171|227|59|196|0|0|0
Grid|194|168|95|167|0|0|0
Rock wall|130|162|63|161|0|0|0
<UNKNOWN>|183|176|111|167|0|0|0
<UNKNOWN>|165|200|59|175|0|0|0
<UNKNOWN>|153|218|57|194|0|0|0
