// CITADEL KEY LEVEL

startdef accessory Citadel_KeyLevel01
group Citadel
removeoffset
tile 3363 0 1 0
tile 3364 0 2 0
tile 3365 1 1 0
tile 3366 1 2 0
tile 3367 2 0 0
tile 3368 2 1 0
tile 3369 2 2 0
tile 3370 3 0 0
tile 3371 3 1 0
tile 3372 3 2 0
tile 3373 4 0 0
tile 3374 4 1 0
tile 3375 4 2 0
tile 3378 5 0 0
tile 3379 5 1 0
tile 3380 5 2 0
tile 3384 6 0 0
tile 3385 6 1 0
tile 3386 6 2 0
tile 3391 7 0 0
tile 3392 7 1 0
tile 3393 7 2 0
tile 3399 8 0 0
tile 3400 8 1 0
tile 3401 8 2 0
tile 3407 9 0 0
tile 3408 9 1 0
tile 3409 9 2 0
tile 3415 10 0 0
tile 3416 10 1 0
tile 3422 11 1 0
tile 3429 12 1 0
enddef accessory

startdef accessory Citadel_KeyLevel02
group Citadel
removeoffset
tile 3376 0 5 0
tile 3377 0 6 0
tile 3381 1 4 0
tile 3382 1 5 0
tile 3383 1 6 0
tile 3387 2 3 0
tile 3388 2 4 0
tile 3389 2 5 0
tile 3390 2 6 0
tile 3394 3 2 0
tile 3395 3 3 0
tile 3396 3 4 0
tile 3397 3 5 0
tile 3398 3 6 0
tile 3402 4 2 0
tile 3403 4 3 0
tile 3404 4 4 0
tile 3405 4 5 0
tile 3406 4 6 0
tile 3410 5 2 0
tile 3411 5 3 0
tile 3412 5 4 0
tile 3413 5 5 0
tile 3414 5 6 0
tile 3417 6 2 0
tile 3418 6 3 0
tile 3419 6 4 0
tile 3420 6 5 0
tile 3421 6 6 0
tile 3423 7 0 0
tile 3424 7 1 0
tile 3425 7 2 0
tile 3426 7 3 0
tile 3427 7 4 0
tile 3428 7 5 0
tile 3430 8 0 0
tile 3431 8 1 0
tile 3432 8 2 0
tile 3433 8 3 0
tile 3434 8 4 0
tile 3435 9 2 0
tile 3436 9 3 0
tile 3437 10 2 0
tile 3438 10 3 0
enddef accessory

startdef accessory Citadel_KeyLevel03
group Citadel
removeoffset

tile 3439 0 0 0
tile 3440 0 1 0
tile 3441 1 0 0
tile 3442 1 1 0
tile 3443 2 0 0
tile 3444 2 1 0
tile 3445 3 0 0
tile 3446 3 1 0
tile 3447 3 2 0
tile 3448 4 0 0
tile 3449 4 1 0
tile 3450 4 2 0
tile 3453 5 0 0
tile 3454 5 1 0
tile 3455 5 2 0
tile 3459 6 0 0
tile 3460 6 1 0
tile 3461 6 2 0
tile 3466 7 0 0
tile 3467 7 1 0
tile 3468 7 2 0
tile 3473 8 0 0
tile 3474 8 1 0
tile 3480 9 0 0
tile 3481 9 1 0
tile 3487 10 0 0
tile 3488 10 1 0
tile 3494 11 0 0
tile 3495 11 1 0
tile 3502 12 0 0
tile 3503 12 1 0
tile 3510 13 0 0
tile 3511 13 1 0
tile 3515 14 0 0
enddef accessory

startdef accessory Citadel_KeyLevel04
group Citadel
removeoffset

tile 3451 0 5 0
tile 3452 0 6 0
tile 3456 1 4 0
tile 3457 1 5 0
tile 3458 1 6 0
tile 3462 2 3 0
tile 3463 2 4 0
